File name, GUI_distance_lag, GUI_relative_distance_lag, OF_distance_lag, OF_relative_distance_lag
MAX_20180604_LP823_Control-06-02, 3.0369979048853954, 0.7674042023308938, 3.01708015171932 0.7729688516720552
MAX_20180604_LP823_Control-06-05, 3.19958752783222 0.7845252777765512, 3.2663194122750383, 0.7860563132174163
MAX_20190503_LP823_01-02, 2.71868813831444, 0.7678873725347132, 2.756233109070218, 0.7537088887846212
MAX_20190503_LP823_02-01, 2.617415105214934, 0.7551651741657183, 2.5711034382171825, 0.7499105488986859 
MAX_20190503_LP823_02-02, 2.805754666674969, 0.7178174503204799, 2.870203918362073, 0.7347428221833834
MAX_20190503_LP823_03-01, 2.1179321595089866, 0.6394196345591057, 2.153895969826997, 0.6449685371991953
MAX_20190503_LP823_03-02, 1.8148492969756376, 0.6525626102949272, 1.8502883285676663, 0.660879465823644
max_2018001_lp823_control-02-02, 2.8528990908061527, 0.7963927470345263, 2.8528990908061527, 0.7963927470345263
max_2018001_lp823_control-02-05, 2.164456711049502, 0.6910000146313923, 2.1308175647278587 0.6956861469289266
, 2.0408899967250926, 0.6715146290059291, 2.0816519138863354, 0.6679815237482052
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 2.9442304293397243 0.7890781099953699, 2.300877011295456, 0.7459081516306805


File name, OF_angle_lag_noisy, OF_angle_lag_denoised
MAX_2018001_LP823_Control-03-02, 30.75441129704666, 32.22613454010257
MAX_20180525_LP823_hmr-1_sax-7_RNAi_04-01, 25.228234484975818, 25.06515580878017
MAX_20180525_LP823_hmr-1_sax-7_RNAi_09-01, 34.40200415717777, 34.93390680817629
MAX_20180604_LP823_Control-03-05, 28.179648061043604, 28.060468174886495
MAX_20180604_LP823_Control-04-05, 28.51689741799846, 29.570612752061393
MAX_20180604_LP823_Control-06-02, 35.70385597232095, 34.348344272847115
MAX_20180604_LP823_Control-06-05, 34.69723552136065, 35.883388986106624
MAX_20190503_LP823_01-02, 37.00953459891861, 37.811522610444534
MAX_20190503_LP823_02-01, 33.325987994032914, 33.325987994032914
MAX_20190503_LP823_02-02, 29.99996719250838, 30.603883069794506
MAX_20190503_LP823_03-01, 24.966626449230517, 24.911846313787503
MAX_20190503_LP823_03-02, 26.88916359500894, 27.21743804255314
max_2018001_lp823_control-02-02, 34.798011046523214, 34.06219305434959
max_2018001_lp823_control-02-05, 27.452257700455952, 28.6216129249025
max_2018001_lp823_control-03-05, 28.3576997416303, 29.197391273973448
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 35.480116144750426, 34.593906003737686






















































File name, OF_distance_lag, OF_relative_distance_lag, MSER_distance_lag, MSER_relative_distance_lag


